record_id,date,month,branch_id,branch_name,city,ingredient,ingredient_category,unit,supplier,qty_ordered,unit_price,total_purchase_cost,qty_wasted,waste_cost,waste_pct,waste_reason,current_stock,min_stock,stock_status,needs_reorder,reorder_frequency,shelf_life_days,year_month
INV-00021,2025-11-15,November,SUC007,Cancún,Cancún,Arroz,Básicos,kg,Distribuidora del Centro,27,27.69,747.63,2.87,79.47,10.63,Exceso de pedido,7.4,6.8,Normal,False,Quincenal,180,2025-11
INV-00022,2026-01-08,January,SUC007,Cancún,Cancún,Salsa Verde,Salsas,litro,Distribuidora del Centro,33,52.85,1744.05,6.71,354.62,20.33,Caducidad,11.0,8.2,Normal,False,Semanal,7,2026-01
INV-00023,2025-09-24,September,SUC002,Ciudad de México Sur,Ciudad de México,Tomate,Verduras,kg,Verduras Frescas SA,17,31.2,530.4,3.16,98.59,18.59,Daño en almacenamiento,5.0,4.2,Normal,False,Diario,5,2025-09
INV-00024,2026-01-18,January,SUC004,Monterrey,Monterrey,Tequila,Bebidas,botella,Bebidas del Norte,32,370.01,11840.32,1.13,418.11,3.53,Daño en almacenamiento,15.3,8.0,Alto,False,Quincenal,365,2026-01
INV-00025,2025-02-13,February,SUC009,Tijuana,Tijuana,Carne de Cerdo,Carnes,kg,Carnes Selectas MX,42,122.01,5124.42,8.85,1079.79,21.07,Caducidad,12.4,10.5,Normal,False,Diario,5,2025-02
INV-00026,2025-02-20,February,SUC002,Ciudad de México Sur,Ciudad de México,Carne de Cerdo,Carnes,kg,Carnes Selectas MX,10,116.08,1160.8,2.18,253.05,21.8,Caducidad,6.5,2.5,Alto,False,Diario,5,2025-02
INV-00027,2025-06-26,June,SUC007,Cancún,Cancún,Refrescos,Bebidas,caja,Bebidas del Norte,11,180.05,1980.55,1.0,180.05,9.09,Exceso de pedido,6.4,2.8,Alto,False,Quincenal,90,2025-06
INV-00028,2025-02-26,February,SUC004,Monterrey,Monterrey,Salsa Verde,Salsas,litro,Distribuidora del Centro,14,62.76,878.64,0.91,57.11,6.5,Exceso de pedido,7.7,3.5,Alto,False,Semanal,7,2025-02
INV-00029,2025-10-07,October,SUC009,Tijuana,Tijuana,Arroz,Básicos,kg,Distribuidora del Centro,37,30.98,1146.26,3.69,114.32,9.97,Daño en almacenamiento,22.6,9.2,Alto,False,Quincenal,180,2025-10
INV-00030,2025-11-13,November,SUC002,Ciudad de México Sur,Ciudad de México,Aceite,Básicos,litro,Distribuidora del Centro,43,42.37,1821.91,6.0,254.22,13.95,Exceso de pedido,33.1,10.8,Alto,False,Quincenal,365,2025-11
INV-00031,2025-05-18,May,SUC001,Ciudad de México Centro,Ciudad de México,Aguacate,Verduras,kg,Verduras Frescas SA,30,74.52,2235.6,4.75,353.97,15.83,Caducidad,6.5,7.5,Bajo,True,Diario,4,2025-05
INV-00032,2026-01-03,January,SUC002,Ciudad de México Sur,Ciudad de México,Chile Jalapeño,Verduras,kg,Verduras Frescas SA,20,37.29,745.8,1.58,58.92,7.9,Daño en almacenamiento,15.4,5.0,Alto,False,Semanal,10,2026-01
INV-00033,2025-11-12,November,SUC009,Tijuana,Tijuana,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,31,25.18,780.58,6.03,151.84,19.45,Caducidad,20.5,7.8,Alto,False,Diario,3,2025-11
INV-00034,2025-10-19,October,SUC008,Mérida,Mérida,Tequila,Bebidas,botella,Bebidas del Norte,39,333.73,13015.47,6.95,2319.42,17.82,Caducidad,15.3,9.8,Alto,False,Quincenal,365,2025-10
INV-00035,2025-07-31,July,SUC002,Ciudad de México Sur,Ciudad de México,Arroz,Básicos,kg,Distribuidora del Centro,48,29.62,1421.76,2.83,83.82,5.9,Exceso de pedido,37.6,12.0,Alto,False,Quincenal,180,2025-07
INV-00036,2025-07-31,July,SUC007,Cancún,Cancún,Salsa Verde,Salsas,litro,Distribuidora del Centro,7,63.06,441.42,1.06,66.84,15.14,Caducidad,5.5,1.8,Alto,False,Semanal,7,2025-07
INV-00037,2025-07-30,July,SUC001,Ciudad de México Centro,Ciudad de México,Cerveza,Bebidas,caja,Bebidas del Norte,42,254.85,10703.7,1.79,456.18,4.26,Caducidad,20.1,10.5,Alto,False,Quincenal,180,2025-07
INV-00038,2025-08-15,August,SUC006,Querétaro,Querétaro,Chile Jalapeño,Verduras,kg,Verduras Frescas SA,40,35.98,1439.2,2.98,107.22,7.45,Exceso de pedido,16.1,10.0,Alto,False,Semanal,10,2025-08
INV-00039,2025-11-02,November,SUC003,Guadalajara,Guadalajara,Chile Jalapeño,Verduras,kg,Verduras Frescas SA,35,32.93,1152.55,3.1,102.08,8.86,Devolución cliente,19.2,8.8,Alto,False,Semanal,10,2025-11
INV-00040,2025-05-02,May,SUC009,Tijuana,Tijuana,Carne de Cerdo,Carnes,kg,Carnes Selectas MX,5,118.95,594.75,1.22,145.12,24.4,Devolución cliente,2.7,1.2,Alto,False,Diario,5,2025-05
INV-00041,2025-10-04,October,SUC003,Guadalajara,Guadalajara,Tequila,Bebidas,botella,Bebidas del Norte,36,317.37,11425.32,3.09,980.67,8.58,Caducidad,24.8,9.0,Alto,False,Quincenal,365,2025-10
INV-00042,2025-04-22,April,SUC001,Ciudad de México Centro,Ciudad de México,Refrescos,Bebidas,caja,Bebidas del Norte,45,188.05,8462.25,4.69,881.95,10.42,Caducidad,24.1,11.2,Alto,False,Quincenal,90,2025-04
INV-00043,2025-11-11,November,SUC002,Ciudad de México Sur,Ciudad de México,Cerveza,Bebidas,caja,Bebidas del Norte,47,300.54,14125.38,2.63,790.42,5.6,Caducidad,32.5,11.8,Alto,False,Quincenal,180,2025-11
INV-00044,2025-06-29,June,SUC008,Mérida,Mérida,Tortillas de Harina,Básicos,paquete,Distribuidora del Centro,45,32.7,1471.5,7.32,239.36,16.27,Devolución cliente,26.1,11.2,Alto,False,Diario,5,2025-06
INV-00045,2025-05-10,May,SUC008,Mérida,Mérida,Queso Fresco,Lácteos,kg,Lácteos Premium,27,88.3,2384.1,2.43,214.57,9.0,Error de preparación,11.4,6.8,Alto,False,Semanal,10,2025-05
INV-00046,2025-09-04,September,SUC005,Puebla,Puebla,Carne de Res,Carnes,kg,Carnes Selectas MX,34,183.03,6223.02,6.29,1151.26,18.5,Caducidad,18.2,8.5,Alto,False,Diario,5,2025-09
INV-00047,2025-10-23,October,SUC004,Monterrey,Monterrey,Refrescos,Bebidas,caja,Bebidas del Norte,50,180.05,9002.5,2.5,450.12,5.0,Devolución cliente,34.1,12.5,Alto,False,Quincenal,90,2025-10
INV-00048,2025-02-15,February,SUC009,Tijuana,Tijuana,Crema,Lácteos,litro,Lácteos Premium,8,49.05,392.4,0.83,40.71,10.38,Caducidad,4.0,2.0,Alto,False,Semanal,14,2025-02
INV-00049,2025-08-24,August,SUC010,León,León,Limón,Verduras,kg,Verduras Frescas SA,38,32.6,1238.8,6.67,217.44,17.55,Daño en almacenamiento,28.2,9.5,Alto,False,Semanal,14,2025-08
INV-00050,2025-12-04,December,SUC010,León,León,Mole,Salsas,kg,Distribuidora del Centro,41,130.79,5362.39,7.77,1016.24,18.95,Exceso de pedido,14.7,10.2,Normal,False,Quincenal,30,2025-12
INV-00051,2025-08-10,August,SUC002,Ciudad de México Sur,Ciudad de México,Mole,Salsas,kg,Distribuidora del Centro,21,135.73,2850.33,2.98,404.48,14.19,Caducidad,13.3,5.2,Alto,False,Quincenal,30,2025-08
INV-00052,2025-07-28,July,SUC005,Puebla,Puebla,Salsa Verde,Salsas,litro,Distribuidora del Centro,40,61.49,2459.6,10.42,640.73,26.05,Caducidad,15.5,10.0,Alto,False,Semanal,7,2025-07
INV-00053,2025-05-16,May,SUC007,Cancún,Cancún,Limón,Verduras,kg,Verduras Frescas SA,10,27.87,278.7,0.66,18.39,6.6,Daño en almacenamiento,6.5,2.5,Alto,False,Semanal,14,2025-05
INV-00054,2025-06-14,June,SUC007,Cancún,Cancún,Frijoles,Básicos,kg,Distribuidora del Centro,21,31.71,665.91,2.26,71.66,10.76,Caducidad,10.3,5.2,Alto,False,Quincenal,180,2025-06
INV-00055,2025-11-16,November,SUC001,Ciudad de México Centro,Ciudad de México,Cilantro,Verduras,manojo,Verduras Frescas SA,29,7.29,211.41,2.4,17.5,8.28,Caducidad,17.6,7.2,Alto,False,Diario,3,2025-11
INV-00056,2025-10-28,October,SUC009,Tijuana,Tijuana,Refrescos,Bebidas,caja,Bebidas del Norte,31,186.98,5796.38,2.2,411.36,7.1,Daño en almacenamiento,9.8,7.8,Normal,False,Quincenal,90,2025-10
INV-00057,2025-09-19,September,SUC006,Querétaro,Querétaro,Pollo,Carnes,kg,Carnes Selectas MX,40,78.64,3145.6,3.64,286.25,9.1,Caducidad,16.4,10.0,Alto,False,Diario,4,2025-09
INV-00058,2025-07-23,July,SUC008,Mérida,Mérida,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,10,27.18,271.8,1.21,32.89,12.1,Exceso de pedido,7.2,2.5,Alto,False,Diario,3,2025-07
INV-00059,2025-09-06,September,SUC005,Puebla,Puebla,Chile Poblano,Verduras,kg,Verduras Frescas SA,32,49.12,1571.84,5.83,286.37,18.22,Caducidad,22.2,8.0,Alto,False,Semanal,7,2025-09
INV-00060,2025-02-24,February,SUC006,Querétaro,Querétaro,Cerveza,Bebidas,caja,Bebidas del Norte,43,260.71,11210.53,2.11,550.1,4.91,Daño en almacenamiento,32.8,10.8,Alto,False,Quincenal,180,2025-02
INV-00061,2025-08-07,August,SUC007,Cancún,Cancún,Queso Fresco,Lácteos,kg,Lácteos Premium,24,107.29,2574.96,2.23,239.26,9.29,Devolución cliente,17.9,6.0,Alto,False,Semanal,10,2025-08
INV-00062,2025-06-08,June,SUC002,Ciudad de México Sur,Ciudad de México,Arroz,Básicos,kg,Distribuidora del Centro,8,31.67,253.36,0.8,25.34,10.0,Devolución cliente,5.8,2.0,Alto,False,Quincenal,180,2025-06
INV-00063,2025-12-18,December,SUC008,Mérida,Mérida,Queso Fresco,Lácteos,kg,Lácteos Premium,42,93.21,3914.82,5.4,503.33,12.86,Daño en almacenamiento,26.5,10.5,Alto,False,Semanal,10,2025-12
INV-00064,2025-04-17,April,SUC001,Ciudad de México Centro,Ciudad de México,Refrescos,Bebidas,caja,Bebidas del Norte,7,195.92,1371.44,0.32,62.69,4.57,Caducidad,3.6,1.8,Alto,False,Quincenal,90,2025-04
INV-00065,2025-04-10,April,SUC006,Querétaro,Querétaro,Arroz,Básicos,kg,Distribuidora del Centro,27,27.25,735.75,1.84,50.14,6.81,Caducidad,19.0,6.8,Alto,False,Quincenal,180,2025-04
INV-00066,2025-09-08,September,SUC006,Querétaro,Querétaro,Queso Fresco,Lácteos,kg,Lácteos Premium,20,104.7,2094.0,2.33,243.95,11.65,Daño en almacenamiento,10.0,5.0,Alto,False,Semanal,10,2025-09
INV-00067,2025-09-29,September,SUC008,Mérida,Mérida,Frijoles,Básicos,kg,Distribuidora del Centro,20,33.49,669.8,2.7,90.42,13.5,Exceso de pedido,4.1,5.0,Bajo,True,Quincenal,180,2025-09
INV-00068,2025-02-10,February,SUC004,Monterrey,Monterrey,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,29,28.45,825.05,1.71,48.65,5.9,Devolución cliente,15.8,7.2,Alto,False,Diario,3,2025-02
INV-00069,2025-10-12,October,SUC009,Tijuana,Tijuana,Frijoles,Básicos,kg,Distribuidora del Centro,11,39.03,429.33,1.63,63.62,14.82,Daño en almacenamiento,7.6,2.8,Alto,False,Quincenal,180,2025-10
INV-00070,2025-12-01,December,SUC003,Guadalajara,Guadalajara,Cilantro,Verduras,manojo,Verduras Frescas SA,11,8.98,98.78,1.66,14.91,15.09,Caducidad,5.5,2.8,Alto,False,Diario,3,2025-12
INV-00071,2025-08-10,August,SUC005,Puebla,Puebla,Aceite,Básicos,litro,Distribuidora del Centro,35,42.15,1475.25,4.38,184.62,12.51,Exceso de pedido,11.5,8.8,Normal,False,Quincenal,365,2025-08
INV-00072,2026-01-11,January,SUC003,Guadalajara,Guadalajara,Carne de Res,Carnes,kg,Carnes Selectas MX,11,187.32,2060.52,1.11,207.93,10.09,Exceso de pedido,2.8,2.8,Normal,False,Diario,5,2026-01
INV-00073,2025-04-15,April,SUC005,Puebla,Puebla,Cerveza,Bebidas,caja,Bebidas del Norte,8,264.25,2114.0,0.74,195.54,9.25,Daño en almacenamiento,4.6,2.0,Alto,False,Quincenal,180,2025-04
INV-00074,2025-04-12,April,SUC006,Querétaro,Querétaro,Tomate,Verduras,kg,Verduras Frescas SA,26,25.62,666.12,3.0,76.86,11.54,Daño en almacenamiento,17.2,6.5,Alto,False,Diario,5,2025-04
INV-00075,2025-07-15,July,SUC001,Ciudad de México Centro,Ciudad de México,Cerveza,Bebidas,caja,Bebidas del Norte,8,277.4,2219.2,0.44,122.06,5.5,Error de preparación,4.6,2.0,Alto,False,Quincenal,180,2025-07
INV-00076,2025-07-26,July,SUC005,Puebla,Puebla,Salsa Roja,Salsas,litro,Distribuidora del Centro,7,58.39,408.73,2.07,120.87,29.57,Exceso de pedido,3.6,1.8,Alto,False,Semanal,7,2025-07
INV-00077,2025-10-18,October,SUC001,Ciudad de México Centro,Ciudad de México,Cerveza,Bebidas,caja,Bebidas del Norte,41,314.74,12904.34,4.18,1315.61,10.2,Daño en almacenamiento,30.6,10.2,Alto,False,Quincenal,180,2025-10
INV-00078,2025-11-28,November,SUC009,Tijuana,Tijuana,Queso Fresco,Lácteos,kg,Lácteos Premium,41,106.98,4386.18,5.06,541.32,12.34,Caducidad,29.6,10.2,Alto,False,Semanal,10,2025-11
INV-00079,2025-10-12,October,SUC007,Cancún,Cancún,Mole,Salsas,kg,Distribuidora del Centro,34,127.74,4343.16,5.5,702.57,16.18,Exceso de pedido,10.4,8.5,Normal,False,Quincenal,30,2025-10
INV-00080,2025-06-02,June,SUC009,Tijuana,Tijuana,Arroz,Básicos,kg,Distribuidora del Centro,35,30.97,1083.95,3.03,93.84,8.66,Exceso de pedido,15.5,8.8,Alto,False,Quincenal,180,2025-06
INV-00081,2025-04-11,April,SUC005,Puebla,Puebla,Chile Jalapeño,Verduras,kg,Verduras Frescas SA,11,36.04,396.44,0.89,32.08,8.09,Caducidad,2.9,2.8,Normal,False,Semanal,10,2025-04
INV-00082,2025-08-20,August,SUC004,Monterrey,Monterrey,Carne de Res,Carnes,kg,Carnes Selectas MX,17,173.8,2954.6,1.14,198.13,6.71,Daño en almacenamiento,11.0,4.2,Alto,False,Diario,5,2025-08
INV-00083,2025-06-25,June,SUC004,Monterrey,Monterrey,Arroz,Básicos,kg,Distribuidora del Centro,19,30.55,580.45,0.65,19.86,3.42,Daño en almacenamiento,9.3,4.8,Alto,False,Quincenal,180,2025-06
INV-00084,2026-01-10,January,SUC001,Ciudad de México Centro,Ciudad de México,Carne de Res,Carnes,kg,Carnes Selectas MX,6,200.25,1201.5,0.87,174.22,14.5,Caducidad,4.3,1.5,Alto,False,Diario,5,2026-01
INV-00085,2025-11-25,November,SUC002,Ciudad de México Sur,Ciudad de México,Tomate,Verduras,kg,Verduras Frescas SA,19,30.25,574.75,2.96,89.54,15.58,Daño en almacenamiento,13.2,4.8,Alto,False,Diario,5,2025-11
INV-00086,2025-07-11,July,SUC003,Guadalajara,Guadalajara,Salsa Verde,Salsas,litro,Distribuidora del Centro,24,56.93,1366.32,1.39,79.13,5.79,Caducidad,14.4,6.0,Alto,False,Semanal,7,2025-07
INV-00087,2025-12-14,December,SUC004,Monterrey,Monterrey,Carne de Res,Carnes,kg,Carnes Selectas MX,36,162.89,5864.04,1.84,299.72,5.11,Caducidad,27.9,9.0,Alto,False,Diario,5,2025-12
INV-00088,2026-01-21,January,SUC005,Puebla,Puebla,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,33,27.93,921.69,9.9,276.51,30.0,Error de preparación,25.3,8.2,Alto,False,Diario,3,2026-01
INV-00089,2025-11-18,November,SUC010,León,León,Mole,Salsas,kg,Distribuidora del Centro,31,134.85,4180.35,3.91,527.26,12.61,Exceso de pedido,9.0,7.8,Normal,False,Quincenal,30,2025-11
INV-00090,2025-07-11,July,SUC005,Puebla,Puebla,Cilantro,Verduras,manojo,Verduras Frescas SA,29,8.18,237.22,3.91,31.98,13.48,Daño en almacenamiento,17.6,7.2,Alto,False,Diario,3,2025-07
INV-00091,2025-04-20,April,SUC009,Tijuana,Tijuana,Salsa Verde,Salsas,litro,Distribuidora del Centro,36,61.37,2209.32,6.59,404.43,18.31,Caducidad,19.6,9.0,Alto,False,Semanal,7,2025-04
INV-00092,2026-01-21,January,SUC004,Monterrey,Monterrey,Chile Poblano,Verduras,kg,Verduras Frescas SA,11,45.71,502.81,1.44,65.82,13.09,Caducidad,3.1,2.8,Normal,False,Semanal,7,2026-01
INV-00093,2025-10-26,October,SUC010,León,León,Chile Jalapeño,Verduras,kg,Verduras Frescas SA,15,37.24,558.6,2.24,83.42,14.93,Daño en almacenamiento,5.5,3.8,Normal,False,Semanal,10,2025-10
INV-00094,2025-04-16,April,SUC006,Querétaro,Querétaro,Tortillas de Harina,Básicos,paquete,Distribuidora del Centro,33,33.54,1106.82,3.76,126.11,11.39,Daño en almacenamiento,23.9,8.2,Alto,False,Diario,5,2025-04
INV-00095,2025-07-18,July,SUC007,Cancún,Cancún,Carne de Cerdo,Carnes,kg,Carnes Selectas MX,5,115.21,576.05,0.8,92.17,16.0,Error de preparación,1.3,1.2,Normal,False,Diario,5,2025-07
INV-00096,2025-04-26,April,SUC003,Guadalajara,Guadalajara,Crema,Lácteos,litro,Lácteos Premium,7,45.09,315.63,0.73,32.92,10.43,Error de preparación,2.9,1.8,Alto,False,Semanal,14,2025-04
INV-00097,2025-04-08,April,SUC004,Monterrey,Monterrey,Tomate,Verduras,kg,Verduras Frescas SA,7,26.99,188.93,0.36,9.72,5.14,Daño en almacenamiento,1.5,1.8,Bajo,True,Diario,5,2025-04
INV-00098,2025-08-10,August,SUC007,Cancún,Cancún,Refrescos,Bebidas,caja,Bebidas del Norte,34,176.02,5984.68,3.85,677.68,11.32,Daño en almacenamiento,23.5,8.5,Alto,False,Quincenal,90,2025-08
INV-00099,2025-09-20,September,SUC002,Ciudad de México Sur,Ciudad de México,Queso Oaxaca,Lácteos,kg,Lácteos Premium,28,146.57,4103.96,3.77,552.57,13.46,Error de preparación,13.9,7.0,Alto,False,Semanal,14,2025-09
INV-00100,2025-03-13,March,SUC006,Querétaro,Querétaro,Arroz,Básicos,kg,Distribuidora del Centro,41,27.82,1140.62,3.31,92.08,8.07,Devolución cliente,12.3,10.2,Normal,False,Quincenal,180,2025-03
INV-00101,2025-02-23,February,SUC005,Puebla,Puebla,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,38,28.1,1067.8,11.4,320.34,30.0,Exceso de pedido,16.8,9.5,Alto,False,Diario,3,2025-02
INV-00102,2025-12-20,December,SUC003,Guadalajara,Guadalajara,Arroz,Básicos,kg,Distribuidora del Centro,5,28.1,140.5,0.33,9.27,6.6,Caducidad,3.5,1.2,Alto,False,Quincenal,180,2025-12
INV-00103,2025-07-23,July,SUC002,Ciudad de México Sur,Ciudad de México,Cilantro,Verduras,manojo,Verduras Frescas SA,30,7.64,229.2,3.67,28.04,12.23,Caducidad,20.2,7.5,Alto,False,Diario,3,2025-07
INV-00104,2025-09-09,September,SUC001,Ciudad de México Centro,Ciudad de México,Tequila,Bebidas,botella,Bebidas del Norte,39,346.34,13507.26,4.68,1620.87,12.0,Daño en almacenamiento,16.8,9.8,Alto,False,Quincenal,365,2025-09
INV-00105,2025-03-31,March,SUC003,Guadalajara,Guadalajara,Queso Fresco,Lácteos,kg,Lácteos Premium,42,100.3,4212.6,3.83,384.15,9.12,Exceso de pedido,10.2,10.5,Bajo,True,Semanal,10,2025-03
INV-00106,2025-04-07,April,SUC008,Mérida,Mérida,Arroz,Básicos,kg,Distribuidora del Centro,40,25.45,1018.0,5.75,146.34,14.37,Daño en almacenamiento,14.2,10.0,Normal,False,Quincenal,180,2025-04
INV-00107,2025-07-01,July,SUC005,Puebla,Puebla,Frijoles,Básicos,kg,Distribuidora del Centro,45,35.59,1601.55,9.63,342.73,21.4,Devolución cliente,28.2,11.2,Alto,False,Quincenal,180,2025-07
INV-00108,2025-12-12,December,SUC001,Ciudad de México Centro,Ciudad de México,Salsa Roja,Salsas,litro,Distribuidora del Centro,40,58.57,2342.8,2.43,142.33,6.08,Error de preparación,14.4,10.0,Normal,False,Semanal,7,2025-12
INV-00109,2025-08-15,August,SUC004,Monterrey,Monterrey,Cilantro,Verduras,manojo,Verduras Frescas SA,10,8.49,84.9,1.33,11.29,13.3,Caducidad,2.9,2.5,Normal,False,Diario,3,2025-08
INV-00110,2025-07-18,July,SUC003,Guadalajara,Guadalajara,Frijoles,Básicos,kg,Distribuidora del Centro,30,34.67,1040.1,1.74,60.33,5.8,Daño en almacenamiento,10.5,7.5,Normal,False,Quincenal,180,2025-07
INV-00111,2025-12-11,December,SUC006,Querétaro,Querétaro,Aceite,Básicos,litro,Distribuidora del Centro,23,44.54,1024.42,1.68,74.83,7.3,Exceso de pedido,5.7,5.8,Bajo,True,Quincenal,365,2025-12
INV-00112,2025-07-06,July,SUC005,Puebla,Puebla,Tortillas de Harina,Básicos,paquete,Distribuidora del Centro,5,35.52,177.6,1.19,42.27,23.8,Error de preparación,2.4,1.2,Alto,False,Diario,5,2025-07
INV-00113,2025-04-16,April,SUC003,Guadalajara,Guadalajara,Aguacate,Verduras,kg,Verduras Frescas SA,49,77.98,3821.02,7.32,570.81,14.94,Caducidad,24.8,12.2,Alto,False,Diario,4,2025-04
INV-00114,2025-11-12,November,SUC003,Guadalajara,Guadalajara,Aguacate,Verduras,kg,Verduras Frescas SA,39,74.16,2892.24,4.19,310.73,10.74,Exceso de pedido,20.2,9.8,Alto,False,Diario,4,2025-11
INV-00115,2025-11-06,November,SUC007,Cancún,Cancún,Queso Fresco,Lácteos,kg,Lácteos Premium,9,90.83,817.47,1.25,113.54,13.89,Exceso de pedido,6.0,2.2,Alto,False,Semanal,10,2025-11
INV-00116,2025-06-06,June,SUC008,Mérida,Mérida,Crema,Lácteos,litro,Lácteos Premium,34,45.92,1561.28,7.1,326.03,20.88,Caducidad,15.1,8.5,Alto,False,Semanal,14,2025-06
INV-00117,2025-03-12,March,SUC005,Puebla,Puebla,Chile Poblano,Verduras,kg,Verduras Frescas SA,7,49.74,348.18,1.12,55.71,16.0,Caducidad,4.4,1.8,Alto,False,Semanal,7,2025-03
INV-00118,2025-05-27,May,SUC002,Ciudad de México Sur,Ciudad de México,Tortillas de Maíz,Básicos,paquete,Distribuidora del Centro,39,22.61,881.79,3.86,87.27,9.9,Caducidad,16.6,9.8,Alto,False,Diario,3,2025-05
